Step,Location_ID,X,y,Zone
0,START,0,0,OFFICE
1,LOC-018,6,10,A
2,LOC-043,25,93,A
3,LOC-012,26,82,A
4,LOC-010,28,51,A
5,LOC-016,34,8,A
6,LOC-029,46,18,A
7,LOC-035,51,66,A
8,LOC-000,56,18,A
9,LOC-024,62,94,A
10,LOC-020,64,8,A
11,LOC-003,65,57,A
12,LOC-036,66,44,A
13,LOC-002,76,94,A
14,LOC-007,79,75,A
15,LOC-031,84,19,A
16,LOC-048,93,49,A
17,LOC-040,7,57,B
18,LOC-047,8,19,B
19,LOC-046,22,33,B
20,LOC-037,55,89,B
21,LOC-013,57,85,B
22,LOC-033,66,82,B
23,LOC-019,68,58,B
24,LOC-023,80,22,B
25,LOC-015,92,54,B
26,LOC-026,93,38,B
27,LOC-014,6,40,C
28,LOC-011,7,39,C
29,LOC-042,11,30,C
30,LOC-001,19,13,C
31,LOC-032,19,76,C
32,LOC-004,25,6,C
33,LOC-021,25,58,C
34,LOC-025,26,48,C
35,LOC-022,37,67,C
36,LOC-017,42,6,C
37,LOC-045,43,45,C
38,LOC-027,53,78,C
39,LOC-041,55,28,C
40,LOC-038,59,84,C
41,LOC-028,63,66,C
42,LOC-030,64,52,C
43,LOC-049,64,69,C
44,LOC-034,66,91,C
45,LOC-039,68,86,C
46,LOC-044,77,64,C
47,LOC-008,79,48,C
48,LOC-005,87,88,C
49,LOC-006,91,64,C
50,LOC-009,92,12,C
51,END,0,0,OFFICE
